P26.2015.08.400m,1
P26.2012.02.400m,1
P26.2014.02.400m,1
P26.2012.06.600m,1
P26.2013.02.600m,1
P26.2015.08.600m,1
P26.2011.02.600m,1
P26.2010.08.600m,1
P26.2011.06.600m,1
P26.2010.06.600m,1
P26.2011.08.600m,1
P26.2012.08.600m,1
P26.2014.08.600m,1
P26.2013.06.600m,1
P26.2013.08.600m,1
P26.2012.02.600m,1
P26.2016.02.600m,1
P26.2014.02.600m,1
P26.2015.02.600m,1
P26.2013.02.3000m,3
P26.2010.06.3000m,3
P26.2011.06.3000m,3
P26.2012.06.3000m,3
P26.2015.02.3000m,3
P26.2014.02.3000m,3
P26.2012.02.3000m,3
P26.2016.02.3000m,3
P26.2013.06.3000m,3
P26.2015.06.3000m,3
P26.2013.08.3000m,3
P26.2014.08.3000m,3
P26.2015.08.3000m,3
P26.2012.08.3000m,3
P26.2010.08.3000m,3
P26.2011.08.3000m,3
P26.2011.08.B.10m,3
P26.2013.08.B.10m,3
P26.2010.08.B.10m,3
P26.2011.06.B.10m,3
P26.2014.02.B.10m,3
P26.2014.08.B.10m,3
P26.2015.02.B.10m,3
P26.2016.02.B.10m,3
P26.2012.08.B.10m,3
P26.2015.06.B.10m,3
P26.2015.08.B.10m,3
P26.2013.08.4000m,3
P26.2014.08.4000m,3
P26.2012.08.4000m,3
P26.2015.06.4000m,3
P26.2015.08.4000m,3
P26.2010.06.4000m,3
P26.2011.08.4000m,3
P26.2010.08.4000m,3
P26.2011.06.4000m,3
P26.2014.02.4000m,3
P26.2012.06.4000m,3
P26.2015.02.4000m,3
P26.2013.06.4000m,3
P26.2012.02.4000m,3
P26.2016.02.4000m,3
