Date, mean T 150-200m, std T 150-200m
2010/06/13 20:25, 4.6, 0.11
2010/06/13 21:26, 4.6, 0.12
2010/06/13 22:35, 4.5, 0.16
2010/06/14 03:01, 4.5, 0.19
2010/06/14 07:10, 4.6, 0.14
2010/06/14 23:45, 4.5, 0.13
2010/06/16 22:03, 4.7, 0.17
2010/06/17 01:41, 4.5, 0.17
2010/06/17 03:37, 4.4, 0.12
2010/06/17 05:49, 4.5, 0.13
2010/06/17 07:37, 4.6, 0.21
2010/06/17 12:07, 4.2, 0.12
2010/06/17 23:04, 4.6, 0.19
2010/08/26 19:04, 4.6, 0.18
2010/08/26 22:12, 4.4, 0.16
2010/08/26 23:29, 4.4, 0.19
2010/08/27 03:36, 4.4, 0.11
2010/08/27 05:30, 4.4, 0.097
2010/08/27 08:34, 4.5, 0.15
2010/08/27 16:58, 4.4, 0.11
2010/08/27 21:30, 4.5, 0.16
2011/02/15 23:33, 4.3, 0.084
2011/06/11 10:59, 4.2, 0.084
2011/06/12 00:42, 4.3, 0.077
2011/06/12 02:34, 4.3, 0.12
2011/06/12 03:59, 4.3, 0.13
2011/06/12 12:49, 4.3, 0.099
2011/06/12 15:21, 4.3, 0.11
2011/06/12 23:00, 4.2, 0.066
2011/06/13 04:50, 4.3, 0.14
2011/06/13 19:41, 4.2, 0.075
2011/08/26 10:04, 4.1, 0.076
2011/08/26 16:22, 4.2, 0.094
2011/08/26 20:57, 4.1, 0.1
2011/08/26 23:39, 4.2, 0.11
2011/08/27 02:39, 4.4, 0.1
2012/02/15 08:36, 4.5, 0.17
2012/02/15 11:57, 4.5, 0.19
2012/02/15 14:48, 4.5, 0.19
2012/02/15 16:20, 4.6, 0.14
2012/02/15 19:50, 4.4, 0.16
2012/02/16 05:45, 4.6, 0.12
2012/06/01 22:21, 4.4, 0.1
2012/06/02 00:17, 4.3, 0.13
2012/06/02 08:28, 4.2, 0.13
2012/06/02 15:28, 4.3, 0.089
2012/06/02 22:55, 4.1, 0.13
2012/06/02 23:57, 4.1, 0.1
2012/06/03 02:23, 4.4, 0.11
2012/06/03 04:12, 4.3, 0.17
2012/06/03 13:44, 4.2, 0.065
2012/06/04 03:33, 4.3, 0.11
2012/06/04 11:33, 4.2, 0.15
2012/06/04 12:38, 4.3, 0.13
2012/08/24 12:49, 4, 0.098
2012/08/24 18:45, 4.1, 0.11
2012/08/24 19:32, 4.1, 0.1
2012/08/24 21:45, 4.2, 0.093
2012/08/25 05:37, 4, 0.086
2012/08/25 10:46, 4.1, 0.097
2012/08/25 16:07, 4, 0.098
2013/02/12 19:27, 3.9, 0.053
2013/02/12 20:31, 3.8, 0.034
2013/02/13 06:29, 3.9, 0.035
2013/02/13 09:41, 3.8, 0.031
2013/06/16 14:33, 3.8, 0.087
2013/06/16 15:49, 3.8, 0.046
2013/06/16 20:47, 3.8, 0.071
2013/06/16 22:44, 3.8, 0.1
2013/06/17 01:41, 3.8, 0.039
2013/06/17 14:33, 3.9, 0.13
2013/06/17 21:09, 3.8, 0.072
2013/06/17 23:32, 3.8, 0.049
2013/06/18 06:56, 3.9, 0.076
2013/06/18 15:03, 3.8, 0.055
2013/06/19 14:38, 3.9, 0.061
2013/08/30 23:12, 3.8, 0.16
2013/08/31 03:10, 3.6, 0.075
2013/08/31 11:33, 3.7, 0.13
2013/08/31 18:20, 3.9, 0.11
2013/08/31 20:01, 3.7, 0.12
2014/02/19 19:24, 4.4, 0.24
2014/02/20 00:16, 4.5, 0.25
2014/02/20 02:26, 4.5, 0.23
2014/02/20 03:13, 4.4, 0.18
2014/06/17 12:31, 4.6, 0.19
2014/06/17 21:30, 4.7, 0.15
2014/06/18 02:41, 4.5, 0.18
2014/06/18 07:17, 4.7, 0.2
2014/06/18 21:02, 4.6, 0.19
2014/06/18 23:01, 4.4, 0.17
2014/06/19 11:37, 4.7, 0.2
2014/08/28 12:42, 4.1, 0.12
2014/08/28 16:32, 4.1, 0.067
2014/08/28 19:51, 4.1, 0.11
2014/08/29 00:31, 4.1, 0.091
2014/08/29 11:35, 4.2, 0.081
2014/08/29 21:33, 4.2, 0.066
2014/08/30 03:26, 4.1, 0.074
2015/02/18 10:14, 4, 0.12
2015/02/18 13:23, 4, 0.14
2015/02/18 18:12, 4, 0.11
2015/02/18 21:48, 3.9, 0.12
2015/02/18 22:45, 4, 0.14
2015/02/19 06:52, 4, 0.12
2015/02/19 10:20, 3.9, 0.099
2015/06/16 00:06, 4.6, 0.19
2015/06/16 02:18, 4.7, 0.24
2015/06/16 06:48, 4.6, 0.17
2015/06/16 14:58, 4.6, 0.22
2015/06/16 23:45, 4.6, 0.2
2015/06/17 02:32, 4.6, 0.2
2015/06/17 04:56, 4.7, 0.22
2015/06/17 15:16, 4.6, 0.18
2015/06/17 20:57, 4.7, 0.22
2015/08/28 07:02, 4.5, 0.16
2015/08/28 08:13, 4.5, 0.11
2015/08/28 13:56, 4.6, 0.12
2015/08/28 19:38, 4.5, 0.13
2015/08/28 20:55, 4.6, 0.16
2016/02/16 09:14, 4.9, 0.17
2016/02/16 13:49, 5, 0.2
2016/02/16 16:08, 5, 0.22
2016/02/16 17:17, 5, 0.15
2016/06/13 22:32, 4.7, 0.13
2016/06/13 23:42, 4.7, 0.14
2016/06/14 03:57, 4.8, 0.15
2016/06/14 11:05, 4.8, 0.12
2016/06/14 21:57, 4.7, 0.12
2016/06/16 03:01, 4.8, 0.18
2016/06/16 13:38, 4.6, 0.18
2016/08/25 21:29, 5.2, 0.12
2016/08/25 22:49, 5.2, 0.15
2016/08/26 06:31, 4.9, 0.15
2016/08/26 11:59, 5.2, 0.15
2016/08/26 13:55, 5.2, 0.18
2016/08/27 02:03, 5.1, 0.17
2016/08/27 05:35, 5, 0.18
2017/02/12 06:12, 5.4, 0.15
2017/02/12 10:04, 5.3, 0.11
2017/02/12 12:05, 5.3, 0.13
2017/02/12 16:33, 5.5, 0.18
2017/06/12 17:06, 5.9, 0.2
2017/06/12 21:51, 6, 0.17
2017/06/13 02:19, 5.9, 0.19
2017/06/13 11:33, 6, 0.16
2017/06/13 15:54, 5.9, 0.17
2017/06/14 01:40, 5.8, 0.19
2017/06/15 02:03, 5.8, 0.13
2017/06/15 12:31, 5.9, 0.2
2017/08/24 20:45, 5.4, 0.23
2017/08/24 22:11, 5.4, 0.2
2017/08/25 05:15, 5.5, 0.08
2017/08/25 08:44, 5.4, 0.13
2017/08/25 14:38, 5.1, 0.084
2018/02/26 16:22, 4.2, 0.068
2018/02/26 22:03, 4.3, 0.065
2018/02/27 00:07, 4.3, 0.077
2018/02/27 02:44, 4.3, 0.025
2018/06/13 14:26, 4.4, 0.049
2018/06/13 19:17, 4.3, 0.11
2018/06/14 00:10, 4.4, 0.091
2018/06/14 01:20, 4.4, 0.06
2018/06/14 05:23, 4.4, 0.034
2018/09/20 08:04, 4.6, 0.18
2018/09/20 12:17, 4.5, 0.17
2018/09/20 21:19, 4.5, 0.2
2018/09/21 00:37, 5, 0.19
2018/09/21 01:36, 5, 0.19
2018/09/21 05:06, 5.1, 0.16
